song.id,acousticness,analysis_url,artist.id,artist.name,banger_occurances,danceability,disc_number,duration_ms,energy,episode,explicit,external_ids.isrc,href,id,instrumentalness,isBanger,is_local,key,linked_from,liveness,loudness,mode,name,popularity,preview_url,speechiness,tempo,time_signature,track,track_href,track_number,type,uri,valence
2MF4HtZHBoUliOi9nOAbS0,0.832,https://api.spotify.com/v1/audio-analysis/2MF4HtZHBoUliOi9nOAbS0,"13ubrt8QOOCPljQ2FL1Kca, 2h93pZq0e7k5yf4dywlkpM","A$AP Rocky, Frank Ocean",12,0.594,1,262360,0.37,False,True,USRC11801946,https://api.spotify.com/v1/tracks/2MF4HtZHBoUliOi9nOAbS0,2MF4HtZHBoUliOi9nOAbS0,0,False,False,11,,0.108,-11.674,0,Purity,68,https://p.scdn.co/mp3-preview/ed077f1e5793e2c605fc6c46203e8bb5d9ba3906?cid=b48aa986c53946d3b37781455e256dd4,0.404,135.391,4,True,https://api.spotify.com/v1/tracks/2MF4HtZHBoUliOi9nOAbS0,15,audio_features,spotify:track:2MF4HtZHBoUliOi9nOAbS0,0.309
2gTYVoQCUh0QNUaFix01ld,0.307,https://api.spotify.com/v1/audio-analysis/2gTYVoQCUh0QNUaFix01ld,0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,15,0.643,1,191606,0.766,False,True,USCM51800081,https://api.spotify.com/v1/tracks/2gTYVoQCUh0QNUaFix01ld,2gTYVoQCUh0QNUaFix01ld,1.38e-05,False,False,6,,0.107,-4.788,0,Chun-Li,43,,0.384,97.092,4,True,https://api.spotify.com/v1/tracks/2gTYVoQCUh0QNUaFix01ld,1,audio_features,spotify:track:2gTYVoQCUh0QNUaFix01ld,0.463
6vnfObZ4Ys70SBAtti1xZ9,0.0862,https://api.spotify.com/v1/audio-analysis/6vnfObZ4Ys70SBAtti1xZ9,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,11,0.81,1,209116,0.582,False,True,USSM11806672,https://api.spotify.com/v1/tracks/6vnfObZ4Ys70SBAtti1xZ9,6vnfObZ4Ys70SBAtti1xZ9,0.00681,False,False,5,,0.207,-5.098,0,COFFEE BEAN,73,https://p.scdn.co/mp3-preview/1ad614f6b2693c956c4b2d6428df8169f452d504?cid=b48aa986c53946d3b37781455e256dd4,0.125,95.004,4,True,https://api.spotify.com/v1/tracks/6vnfObZ4Ys70SBAtti1xZ9,17,audio_features,spotify:track:6vnfObZ4Ys70SBAtti1xZ9,0.503
2qHk6Nz5glNQrjW8Rhd5kv,0.415,https://api.spotify.com/v1/audio-analysis/2qHk6Nz5glNQrjW8Rhd5kv,"2cWZOOzeOm4WmBJRnD5R7I, 4IVAbR2w4JJNJDDRFP3E83","Normani, 6LACK",12,0.578,1,215671,0.588,False,True,USRC11803647,https://api.spotify.com/v1/tracks/2qHk6Nz5glNQrjW8Rhd5kv,2qHk6Nz5glNQrjW8Rhd5kv,0,False,False,0,,0.114,-4.92,0,Waves (feat. 6LACK),77,https://p.scdn.co/mp3-preview/5547fc66dd1424a89baa2d60840e6bd5976eb376?cid=b48aa986c53946d3b37781455e256dd4,0.255,79.174,5,True,https://api.spotify.com/v1/tracks/2qHk6Nz5glNQrjW8Rhd5kv,1,audio_features,spotify:track:2qHk6Nz5glNQrjW8Rhd5kv,0.3
3UhRsQVrELOATEiY7E9X2T,0.22,https://api.spotify.com/v1/audio-analysis/3UhRsQVrELOATEiY7E9X2T,"31W5EY0aAly4Qieq6OFu6I, 3nViOFa3kZW8OMSNOzwr98","A Boogie Wit da Hoodie, Queen Naija",11,0.741,1,156512,0.556,False,True,USAT21812924,https://api.spotify.com/v1/tracks/3UhRsQVrELOATEiY7E9X2T,3UhRsQVrELOATEiY7E9X2T,0,False,False,7,,0.0981,-6.647,0,Come Closer (feat. Queen Naija),78,https://p.scdn.co/mp3-preview/ce46e6b2c2dfbb238f220459c27c9d00f6476a80?cid=b48aa986c53946d3b37781455e256dd4,0.0947,140.056,4,True,https://api.spotify.com/v1/tracks/3UhRsQVrELOATEiY7E9X2T,10,audio_features,spotify:track:3UhRsQVrELOATEiY7E9X2T,0.616
7uiBocndm12aKbsdnQ3Scx,0.172,https://api.spotify.com/v1/audio-analysis/7uiBocndm12aKbsdnQ3Scx,7bXgB6jMjp9ATFy66eO08Z,Chris Brown,11,0.441,1,187298,0.527,False,True,USRC11803551,https://api.spotify.com/v1/tracks/7uiBocndm12aKbsdnQ3Scx,7uiBocndm12aKbsdnQ3Scx,0,False,False,3,,0.233,-5.318,1,Undecided,86,https://p.scdn.co/mp3-preview/dcca6cfb65d76551f7262508c659b65ee0a723fd?cid=b48aa986c53946d3b37781455e256dd4,0.0966,96.37,4,True,https://api.spotify.com/v1/tracks/7uiBocndm12aKbsdnQ3Scx,1,audio_features,spotify:track:7uiBocndm12aKbsdnQ3Scx,0.589
09CtPGIpYB4BrO8qb1RGsF,0.0865,https://api.spotify.com/v1/audio-analysis/09CtPGIpYB4BrO8qb1RGsF,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,12,0.605,1,200787,0.768,False,False,USUM71516760,https://api.spotify.com/v1/tracks/09CtPGIpYB4BrO8qb1RGsF,09CtPGIpYB4BrO8qb1RGsF,0,False,False,0,,0.308,-3.724,0,Sorry,82,https://p.scdn.co/mp3-preview/9a744ca0248dda247a682b6703b62c36a9127bbb?cid=b48aa986c53946d3b37781455e256dd4,0.0476,100.209,4,True,https://api.spotify.com/v1/tracks/09CtPGIpYB4BrO8qb1RGsF,4,audio_features,spotify:track:09CtPGIpYB4BrO8qb1RGsF,0.414
7HGTkn2aX7MNdKs7nV2xBt,0.000123,https://api.spotify.com/v1/audio-analysis/7HGTkn2aX7MNdKs7nV2xBt,0C0XlULifJtAgn6ZNCW2eu,The Killers,11,0.5,1,197160,0.975,False,False,USIR20400195,https://api.spotify.com/v1/tracks/7HGTkn2aX7MNdKs7nV2xBt,7HGTkn2aX7MNdKs7nV2xBt,0.000379,False,False,10,,0.104,-3.176,0,Somebody Told Me,71,https://p.scdn.co/mp3-preview/0977bc4112d59a4da8f0eb47aaf01e234c6c237a?cid=b48aa986c53946d3b37781455e256dd4,0.0824,138.005,4,True,https://api.spotify.com/v1/tracks/7HGTkn2aX7MNdKs7nV2xBt,4,audio_features,spotify:track:7HGTkn2aX7MNdKs7nV2xBt,0.767
1HL3yEnYq8LEyFQ3QegA5V,0.122,https://api.spotify.com/v1/audio-analysis/1HL3yEnYq8LEyFQ3QegA5V,2TI7qyDE0QfyOlnbtfDo7L,Dave Matthews Band,11,0.541,1,316467,0.677,False,False,USRC19603151,https://api.spotify.com/v1/tracks/1HL3yEnYq8LEyFQ3QegA5V,1HL3yEnYq8LEyFQ3QegA5V,0.0191,False,False,4,,0.0938,-10.764,1,Crash into Me,69,https://p.scdn.co/mp3-preview/acd547cb5d76704d2b7dfc2cdcd6b270c95afe75?cid=b48aa986c53946d3b37781455e256dd4,0.0373,101.1,4,True,https://api.spotify.com/v1/tracks/1HL3yEnYq8LEyFQ3QegA5V,3,audio_features,spotify:track:1HL3yEnYq8LEyFQ3QegA5V,0.555
01TnVDiet1DFTsyWKUKovl,0.1,https://api.spotify.com/v1/audio-analysis/01TnVDiet1DFTsyWKUKovl,15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,13,0.414,1,186268,0.416,False,False,USUG11800453,https://api.spotify.com/v1/tracks/01TnVDiet1DFTsyWKUKovl,01TnVDiet1DFTsyWKUKovl,0.179,False,False,11,,0.131,-8.024,0,NUMB,80,https://p.scdn.co/mp3-preview/0b45064975dc96a9d19544a0d8c37effdd34c765?cid=b48aa986c53946d3b37781455e256dd4,0.0251,159.91,4,True,https://api.spotify.com/v1/tracks/01TnVDiet1DFTsyWKUKovl,7,audio_features,spotify:track:01TnVDiet1DFTsyWKUKovl,0.196
