song.id,acousticness,analysis_url,artist.id,artist.name,isBanger,banger_occurances,danceability,disc_number,duration_ms,energy,episode,explicit,external_ids.isrc,href,id,instrumentalness,is_local,key,liveness,loudness,mode,name,popularity,preview_url,speechiness,tempo,time_signature,track,track_href,track_number,type,uri,valence
6xAhkN7uE1qdhPa8jZwhTb,0.354,https://api.spotify.com/v1/audio-analysis/6xAhkN7uE1qdhPa8jZwhTb,"49Z1AvGeUaBSanPaOmplK6, 07YUOmWljBTXwIseAUd9TW","Andrés Cepeda, Sebastian Yatra",False,13,0.458,1,192987,0.705,False,False,COSO11800015,https://api.spotify.com/v1/tracks/6xAhkN7uE1qdhPa8jZwhTb,6xAhkN7uE1qdhPa8jZwhTb,0,False,0,0.0893,-5.281,1,Magia (feat. Sebastian Yatra),69,https://p.scdn.co/mp3-preview/754b6a62336b5463fda8761a1d90078bcdbba5e5?cid=b48aa986c53946d3b37781455e256dd4,0.116,188.048,4,True,https://api.spotify.com/v1/tracks/6xAhkN7uE1qdhPa8jZwhTb,1,audio_features,spotify:track:6xAhkN7uE1qdhPa8jZwhTb,0.594
0yac0FPhLRH9i9lOng3f81,0.0014,https://api.spotify.com/v1/audio-analysis/0yac0FPhLRH9i9lOng3f81,53A0W3U0s8diEn9RhXQhVz,Keane,False,13,0.517,1,215880,0.839,False,False,GBAAN0400092,https://api.spotify.com/v1/tracks/0yac0FPhLRH9i9lOng3f81,0yac0FPhLRH9i9lOng3f81,0.000365,False,0,0.108,-3.521,1,Everybody's Changing,73,,0.0287,94.016,4,True,https://api.spotify.com/v1/tracks/0yac0FPhLRH9i9lOng3f81,4,audio_features,spotify:track:0yac0FPhLRH9i9lOng3f81,0.416
58q2HKrzhC3ozto2nDdN4z,0.099,https://api.spotify.com/v1/audio-analysis/58q2HKrzhC3ozto2nDdN4z,"4kYSro6naA4h99UJvo89HB, 4q3ewBCX7sLwd24euuV69X, 1vyhD5VmyZ7KMfW5gqLgo5","Cardi B, Bad Bunny, J Balvin",False,24,0.816,1,253390,0.726,False,True,USAT21801431,https://api.spotify.com/v1/tracks/58q2HKrzhC3ozto2nDdN4z,58q2HKrzhC3ozto2nDdN4z,0,False,5,0.372,-3.998,0,I Like It,90,https://p.scdn.co/mp3-preview/0f8734f51bb0a419959fdad3a0852621f9e6bc89?cid=b48aa986c53946d3b37781455e256dd4,0.129,136.048,4,True,https://api.spotify.com/v1/tracks/58q2HKrzhC3ozto2nDdN4z,7,audio_features,spotify:track:58q2HKrzhC3ozto2nDdN4z,0.65
3IPJg1sdqLj12kFIndaonN,0.861,https://api.spotify.com/v1/audio-analysis/3IPJg1sdqLj12kFIndaonN,07YUOmWljBTXwIseAUd9TW,Sebastian Yatra,False,20,0.695,1,199733,0.379,False,False,USUM71713890,https://api.spotify.com/v1/tracks/3IPJg1sdqLj12kFIndaonN,3IPJg1sdqLj12kFIndaonN,0,False,6,0.106,-9.096,1,No Hay Nadie Más,79,https://p.scdn.co/mp3-preview/53ff603ca19f639b74f8d70e355a601ad01a2b1f?cid=b48aa986c53946d3b37781455e256dd4,0.0339,105.108,4,True,https://api.spotify.com/v1/tracks/3IPJg1sdqLj12kFIndaonN,14,audio_features,spotify:track:3IPJg1sdqLj12kFIndaonN,0.808
5Y9fnynLlIvqtM710MHzfz,0.165,https://api.spotify.com/v1/audio-analysis/5Y9fnynLlIvqtM710MHzfz,1i8SpTcr7yvPOmcqrbnVXY,Ozuna,False,13,0.855,1,226800,0.664,False,False,USXDR1700560,https://api.spotify.com/v1/tracks/5Y9fnynLlIvqtM710MHzfz,5Y9fnynLlIvqtM710MHzfz,3.97e-05,False,9,0.0937,-7.11,0,Síguelo Bailando,80,https://p.scdn.co/mp3-preview/2920028c8d64a9cc91db74dab8e19f96cdb9f321?cid=b48aa986c53946d3b37781455e256dd4,0.0607,98.015,4,True,https://api.spotify.com/v1/tracks/5Y9fnynLlIvqtM710MHzfz,11,audio_features,spotify:track:5Y9fnynLlIvqtM710MHzfz,0.626
7uQmJ1jgNzBpATSoWKSPFu,0.048,https://api.spotify.com/v1/audio-analysis/7uQmJ1jgNzBpATSoWKSPFu,"07YUOmWljBTXwIseAUd9TW, 2wkoKEfS6dXwThbyTnZWFU","Sebastian Yatra, Mau y Ricky",False,11,0.632,1,198933,0.832,False,False,USUM71809940,https://api.spotify.com/v1/tracks/7uQmJ1jgNzBpATSoWKSPFu,7uQmJ1jgNzBpATSoWKSPFu,0,False,7,0.0705,-1.948,0,Ya No Tiene Novio,87,https://p.scdn.co/mp3-preview/1069d42b5a61e934b6ffd878a02e639579607ba4?cid=b48aa986c53946d3b37781455e256dd4,0.154,182.184,4,True,https://api.spotify.com/v1/tracks/7uQmJ1jgNzBpATSoWKSPFu,1,audio_features,spotify:track:7uQmJ1jgNzBpATSoWKSPFu,0.784
4w8niZpiMy6qz1mntFA5uM,0.153,https://api.spotify.com/v1/audio-analysis/4w8niZpiMy6qz1mntFA5uM,"540vIaP2JwjQb9dm3aArA4, 0C8ZW7ezQVs4URX5aX7Kqx, 1i8SpTcr7yvPOmcqrbnVXY, 4kYSro6naA4h99UJvo89HB","DJ Snake, Selena Gomez, Ozuna, Cardi B",False,33,0.841,1,212500,0.798,False,True,USUG11801723,https://api.spotify.com/v1/tracks/4w8niZpiMy6qz1mntFA5uM,4w8niZpiMy6qz1mntFA5uM,3.33e-06,False,1,0.0618,-4.206,0,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",95,https://p.scdn.co/mp3-preview/6be430938d5318d1b2c49996d54f5daa9ce1fc1c?cid=b48aa986c53946d3b37781455e256dd4,0.229,95.948,4,True,https://api.spotify.com/v1/tracks/4w8niZpiMy6qz1mntFA5uM,1,audio_features,spotify:track:4w8niZpiMy6qz1mntFA5uM,0.591
2D3z17LBMJ2HEHeBFFjTLi,0.0165,https://api.spotify.com/v1/audio-analysis/2D3z17LBMJ2HEHeBFFjTLi,1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,False,13,0.747,1,158800,0.74,False,False,USUM71818622,https://api.spotify.com/v1/tracks/2D3z17LBMJ2HEHeBFFjTLi,2D3z17LBMJ2HEHeBFFjTLi,9.94e-05,False,4,0.101,-4.325,0,Reggaeton,90,https://p.scdn.co/mp3-preview/427777b6784aa0c0e81cf0bb9533ed210198eb26?cid=b48aa986c53946d3b37781455e256dd4,0.191,176.059,4,True,https://api.spotify.com/v1/tracks/2D3z17LBMJ2HEHeBFFjTLi,1,audio_features,spotify:track:2D3z17LBMJ2HEHeBFFjTLi,0.552
0LQ1J0BCzA2qnAgp9MkkNE,0.689,https://api.spotify.com/v1/audio-analysis/0LQ1J0BCzA2qnAgp9MkkNE,"7gZfnEnfiaHzxARJ2LeXrf, 2R21vXR83lH98kGeO99Y66","6ix9ine, Anuel Aa",False,11,0.719,1,206550,0.825,False,True,QMEU31821953,https://api.spotify.com/v1/tracks/0LQ1J0BCzA2qnAgp9MkkNE,0LQ1J0BCzA2qnAgp9MkkNE,0,False,5,0.103,-3.627,0,MALA (feat. Anuel Aa),87,https://p.scdn.co/mp3-preview/5945f3f2b8b1a582f34362cdecc521a369c57582?cid=b48aa986c53946d3b37781455e256dd4,0.0424,100.006,4,True,https://api.spotify.com/v1/tracks/0LQ1J0BCzA2qnAgp9MkkNE,8,audio_features,spotify:track:0LQ1J0BCzA2qnAgp9MkkNE,0.789
6N3qHjcwly8ZuhE4bPYJAX,0.426,https://api.spotify.com/v1/audio-analysis/6N3qHjcwly8ZuhE4bPYJAX,"20wkVLutqVOYrc0kxFs7rA, 1U1el3k54VvEUzo3ybLPlM","Daniel Caesar, Kali Uchis",False,13,0.659,1,277297,0.295,False,False,TCACR1690004,https://api.spotify.com/v1/tracks/6N3qHjcwly8ZuhE4bPYJAX,6N3qHjcwly8ZuhE4bPYJAX,6.95e-05,False,11,0.0795,-8.528,0,Get You (feat. Kali Uchis),68,https://p.scdn.co/mp3-preview/84ad56ff1aaab05ff7d1bedee3b609052b03b4aa?cid=b48aa986c53946d3b37781455e256dd4,0.0322,74.037,4,True,https://api.spotify.com/v1/tracks/6N3qHjcwly8ZuhE4bPYJAX,1,audio_features,spotify:track:6N3qHjcwly8ZuhE4bPYJAX,0.36
3AqPL1n1wKc5DVFFnYuJhp,0.885,https://api.spotify.com/v1/audio-analysis/3AqPL1n1wKc5DVFFnYuJhp,"32ogthv0BdaSMPml02X9YB, 7bPs6jf983f0bjRAt1yxDM","The Cinematic Orchestra, Patrick Watson",False,17,0.264,1,370667,0.128,False,False,GBCEL0700226,https://api.spotify.com/v1/tracks/3AqPL1n1wKc5DVFFnYuJhp,3AqPL1n1wKc5DVFFnYuJhp,0.352,False,9,0.105,-15.443,1,To Build A Home,68,https://p.scdn.co/mp3-preview/b39e590a07f73f930873ffbf4c49256d7feda3e4?cid=b48aa986c53946d3b37781455e256dd4,0.034,148.499,4,True,https://api.spotify.com/v1/tracks/3AqPL1n1wKc5DVFFnYuJhp,10,audio_features,spotify:track:3AqPL1n1wKc5DVFFnYuJhp,0.0774
5O6yk6U8L3rTbFsIwuqe8H,0.952,https://api.spotify.com/v1/audio-analysis/5O6yk6U8L3rTbFsIwuqe8H,4dpARuHxo51G3z768sgnrY,Adele,False,12,0.305,1,250133,0.452,False,False,GBBKS1000346,https://api.spotify.com/v1/tracks/5O6yk6U8L3rTbFsIwuqe8H,5O6yk6U8L3rTbFsIwuqe8H,1.68e-05,False,0,0.129,-6.077,0,Turning Tables,68,https://p.scdn.co/mp3-preview/4f52f4b2641d3df73202dbcac9dab75c3f932aa9?cid=b48aa986c53946d3b37781455e256dd4,0.0293,79.83,4,True,https://api.spotify.com/v1/tracks/5O6yk6U8L3rTbFsIwuqe8H,3,audio_features,spotify:track:5O6yk6U8L3rTbFsIwuqe8H,0.21
